类型,位置,变更,依据/说明
脚号订正,第5行 PA10,58 -> 56,TI 器件数据为准；原值 58 实为其他引脚的脚号
脚号订正,第6行 PA11,59 -> 57,TI 器件数据为准；原值 59 实为其他引脚的脚号
脚号订正,第7行 PA8,56 -> 54,TI 器件数据为准；原值 56 实为其他引脚的脚号
脚号订正,第8行 PA9,57 -> 55,TI 器件数据为准；原值 57 实为其他引脚的脚号
脚号订正,第11行 PA26,35 -> 30,TI 器件数据为准；原值 35 实为其他引脚的脚号
脚号订正,第12行 PA25,39 -> 26,TI 器件数据为准；原值 39 实为其他引脚的脚号
脚号订正,第19行 PB7,55 -> 59,TI 器件数据为准；原值 55 实为其他引脚的脚号
用途变更,第5/6行 PA10/PA11,运行期UART0交陀螺仪 -> 仅BSL烧录,用户2026-07-16裁定；固件已配 UART_BSL_ENTRY=UART0/9600/无DMA
裁定确认,第11/12行 陀螺仪,UART3 PA26/PA25（维持）,用户2026-07-16裁定；board.syscfg 现状即如此，固件零改动
作废,第41/42行 调试串口,PA26/PA25 -> 作废,PA25/PA26 归陀螺仪独占；『与陀螺仪分离』无法在同一对引脚上成立
新增,第46/47行 VOFA调试串口,"UART5 PA1(TX,脚34)/PA0(RX,脚33) @230400",★需硬件组新引出；用户2026-07-16裁定
作废,Sheet2第4行,陀螺仪迁PA28/PA31 -> 作废,用户裁定陀螺仪维持PA25/PA26
修正,Sheet2第5行,运行期UART0交陀螺仪 -> 运行期UART0不使用,VOFA 迁 UART5
【图例】,黄=脚号订正,绿=新增需求(需硬件组动作),红=作废
【仍待硬件组答复】,,,
Q1 封装,Sheet2第6行,表称统一LQFP-64(PM)；工程board.syscfg配置为LQFP-100(PZ),G3519 两种封装都存在，故这是真问题。已核实：两颗芯片LQFP-64下64个脚号对应引脚名完全一致，故Sheet2第6行的兼容性前提成立。但打样实物到底是哪个封装需确认
Q4 编码器⇄灰度对调,Sheet1第19-22/32/33/38/39行,是否按表执行？PA6晶振冲突是否实测确认？,★高风险：本次对调同时翻转了timer↔轮归属（现LEFT=TIMG8/RIGHT=TIMG9，表要求左轮=TIMG9/右轮=TIMG8）。若只改引脚不改映射，左右轮数据会静默对调——不报错不崩溃，易误判为PID问题
脚号错误,Sheet1 共7行,PA8/PA9/PA10/PA11 整体偏移+2；PB7 偏差-4；PA26/PA25 填成了PA28/PA31的脚号,★请核对PCB实物：若布线是照脚号走的，则无线模块实际接到PB6/PB7而非PA10/PA11。若布线照原理图符号走则仅为文档错误
